article_id,title,source,category,publish_date,sentiment_label,sentiment_score,url
rss-0758b2919daebc13,Mideast Live Updates: U.S. and Iran Offer Conflicting Accounts of Nuclear Discussions,NYT World,World,2026-06-23 18:04,negative,-0.1531,https://www.nytimes.com/live/2026/06/23/world/iran-us-trump-lebanon
rss-c7f340f4e86f7f74,The Iran War’s Persistent Threat to Farmers in Poor Countries,NYT Business,Economy,2026-06-23 17:59,negative,-0.7678,https://www.nytimes.com/2026/06/23/business/iran-war-africa-farming.html
rss-c7f340f4e86f7f74,The Iran War’s Persistent Threat to Farmers in Poor Countries,NYT World,World,2026-06-23 17:59,negative,-0.7678,https://www.nytimes.com/2026/06/23/business/iran-war-africa-farming.html
rss-a1713dab823ec1f9,Iranian Singer Sentenced to 74 Lashes for Performing Without Hijab,NYT World,World,2026-06-23 17:09,negative,-0.8591,https://www.nytimes.com/2026/06/23/world/middleeast/iranian-singer-lashing-sentence.html
rss-150a54b07dd088f9,"Strait Reopens and Iranian Oil Flows, But the Path Through Is Complicated",NYT Business,Economy,2026-06-23 15:29,negative,-0.3919,https://www.nytimes.com/2026/06/23/business/iran-strait-hormuz-oil-shipping-traffic.html
rss-3a4f9cda0d467093,Dozens of ships head through Strait of Hormuz after US-Iran deal,BBC World,World,2026-06-23 14:55,negative,-0.7096,https://www.bbc.co.uk/news/articles/cx23rnzdgl8o?at_medium=RSS&at_campaign=rss
rss-7b98a12770efee54,U.S. and Iran’s Conflicting Claims on Nuclear Inspection Show Challenge Ahead,NYT World,World,2026-06-23 14:33,positive,0.4939,https://www.nytimes.com/2026/06/23/world/middleeast/diverging-accounts-iran-nuclear-inspections.html
rss-b961eb5eb28680c5,"After Wars and False Starts, Cautious Optimism for U.S.-Iran Talks",NYT World,World,2026-06-23 14:02,negative,-0.5423,https://www.nytimes.com/2026/06/23/world/middleeast/united-states-iran-talks-optimism.html
rss-617e0fb7430b5781,What the US and Iran agreed – and disagreed – on first day of talks,Al Jazeera,World,2026-06-23 13:12,negative,-0.3818,https://www.aljazeera.com/news/2026/6/23/what-the-us-and-iran-agreed-and-disagreed-on-first-day-of-talks?traffic_source=rss
rss-76089f7148b4bff0,Former PM says Israel smuggled Starlink internet systems into Iran,Al Jazeera,World,2026-06-23 12:37,negative,-0.5574,https://www.aljazeera.com/video/newsfeed/2026/6/23/former-pm-says-israel-smuggled-starlink-internet-systems-into-iran?traffic_source=rss
rss-ed698d0e09cbeb85,Iran says no new commitments on nuclear sites after Vance says inspectors to be invited back,BBC Business,Economy,2026-06-23 12:14,negative,-0.34,https://www.bbc.co.uk/news/articles/c3vy3nr63gxo?at_medium=RSS&at_campaign=rss
rss-ed698d0e09cbeb85,Iran says no new commitments on nuclear sites after Vance says inspectors to be invited back,BBC World,World,2026-06-23 12:14,negative,-0.34,https://www.bbc.co.uk/news/articles/c3vy3nr63gxo?at_medium=RSS&at_campaign=rss
rss-c12cc5419d5b19f5,"U.S. lifts Iran oil sanctions. And, federal judge rules SAVE voter tool unlawful",NPR News,World,2026-06-23 11:17,positive,0.9075,https://www.npr.org/2026/06/23/g-s1-129603/up-first-newsletter-iran-oil-sanctions-trump-economy-minnesota-subpoenas-save-voter-info
rss-a413475227277211,Who would pay for Trump's proposed $300 billion Iran reconstruction fund?,NPR News,World,2026-06-23 10:51,neutral,-0.0,https://www.npr.org/2026/06/23/nx-s1-5866577/iran-trump-deal-300-billion-obama
rss-fc88e84919f4b4e8,"As Vance Leads Iran Negotiations, Trump Creates Disruptions in His Path",NYT Politics,Policy,2026-06-23 09:46,negative,-0.0772,https://www.nytimes.com/2026/06/22/us/politics/jd-vance-iran-negotiations.html
rss-71ac629dd40e8d5e,A U.S.-Iran dispute over nuclear inspections clouds work to finalize a war-ending deal,NPR News,World,2026-06-23 09:29,negative,-0.4019,https://www.npr.org/2026/06/23/nx-s1-5867322/us-iran-finalize-war-ending-deal
rss-27793f474469a29f,America’s Thirst for Gasoline May Not Recover After Iran War,NYT Business,Economy,2026-06-23 09:01,negative,-0.5994,https://www.nytimes.com/2026/06/23/business/economy/gasoline-demand-destruction.html
rss-ed1c193d940467f4,Iran Makes Moves to Assert Control Over the Strait of Hormuz,NYT World,World,2026-06-23 09:01,negative,-0.2263,https://www.nytimes.com/2026/06/23/world/middleeast/iran-control-strait-of-hormuz.html
rss-284e1f381587e550,Iran Team Leaves Locker Room Note: The ‘Spirit of Iran Remains Alive and Steadfast’,NYT World,World,2026-06-22 22:47,positive,0.6486,https://www.nytimes.com/2026/06/22/world/middleeast/iran-world-cup-locker-room-note.html
rss-c474a87fa15de829,"U.S. Temporarily Lifts Oil Sanctions Against Iran, Citing ‘Productive’ Talks",NYT World,World,2026-06-22 21:00,positive,0.2263,https://www.nytimes.com/2026/06/22/world/middleeast/us-iran-oil-sanctions.html
rss-62e633d5324f9090,Vance Says Iran Will Allow Nuclear Watchdog to Restart Inspections,NYT Politics,Policy,2026-06-22 16:29,positive,0.5574,https://www.nytimes.com/2026/06/22/world/middleeast/vance-iran-nuclear-inspections.html
rss-c3637631975c014e,What could US-Iran peace deal mean for UK household costs?,Guardian Business,Economy,2026-06-19 13:35,positive,0.8442,https://www.theguardian.com/money/2026/jun/19/what-could-us-iran-peace-deal-mean-for-uk-household-costs
